# Setup: RUNS=15, THREADS=4, NUM_SIGNALS=20, NUM_REF=20
start,setup,1st,2nd,end,setup-time,first-propagation,second-propagation,third-propagation,total-time
1377168617989,1377168618017,1377168625935,1377168630458,1377168642273,28,7918,4523,11815,24284
1377168642398,1377168642399,1377168649733,1377168654238,1377168666167,1,7334,4505,11929,23769
1377168666237,1377168666237,1377168673569,1377168678250,1377168690141,0,7332,4681,11891,23904
1377168690191,1377168690191,1377168697559,1377168702104,1377168713957,0,7368,4545,11853,23766
1377168714004,1377168714005,1377168721314,1377168725835,1377168737688,1,7309,4521,11853,23684
1377168737729,1377168737730,1377168745017,1377168749528,1377168761332,1,7287,4511,11804,23603
1377168761373,1377168761373,1377168768714,1377168773214,1377168785269,0,7341,4500,12055,23896
1377168785323,1377168785324,1377168792630,1377168797161,1377168809015,1,7306,4531,11854,23692
1377168809057,1377168809057,1377168816384,1377168820927,1377168832889,0,7327,4543,11962,23832
1377168832929,1377168832930,1377168840258,1377168844765,1377168856629,1,7328,4507,11864,23700
1377168856676,1377168856677,1377168863996,1377168868508,1377168880296,1,7319,4512,11788,23620
1377168880340,1377168880342,1377168887686,1377168892204,1377168904038,2,7344,4518,11834,23698
1377168904081,1377168904082,1377168911397,1377168915940,1377168927799,1,7315,4543,11859,23718
1377168927846,1377168927847,1377168935192,1377168939778,1377168951746,1,7345,4586,11968,23900
1377168951790,1377168951792,1377168959180,1377168963741,1377168975786,2,7388,4561,12045,23996
