# Setup: RUNS=15, THREADS=4, NUM_SIGNALS=20, NUM_REF=20
start,setup,1st,2nd,end,setup-time,first-propagation,second-propagation,third-propagation,total-time
1377168990434,1377168990437,1377168997841,1377169002563,1377169014345,3,7404,4722,11782,23911
1377169014346,1377169014347,1377169021633,1377169026135,1377169037929,1,7286,4502,11794,23583
1377169037929,1377169037930,1377169045208,1377169049711,1377169061587,1,7278,4503,11876,23658
1377169061588,1377169061588,1377169068954,1377169073478,1377169085402,0,7366,4524,11924,23814
1377169085402,1377169085403,1377169092817,1377169097352,1377169109232,1,7414,4535,11880,23830
1377169109233,1377169109233,1377169116511,1377169121010,1377169132792,0,7278,4499,11782,23559
1377169132793,1377169132793,1377169140095,1377169144611,1377169156430,0,7302,4516,11819,23637
1377169156430,1377169156431,1377169163724,1377169168229,1377169180111,1,7293,4505,11882,23681
1377169180112,1377169180112,1377169187427,1377169191953,1377169203848,0,7315,4526,11895,23736
1377169203848,1377169203849,1377169211267,1377169215805,1377169227691,1,7418,4538,11886,23843
1377169227692,1377169227692,1377169235014,1377169239536,1377169251316,0,7322,4522,11780,23624
1377169251317,1377169251317,1377169258595,1377169263118,1377169274957,0,7278,4523,11839,23640
1377169274957,1377169274958,1377169282276,1377169286782,1377169298620,1,7318,4506,11838,23663
1377169298620,1377169298621,1377169305948,1377169310504,1377169322386,1,7327,4556,11882,23766
1377169322387,1377169322387,1377169329795,1377169334311,1377169346191,0,7408,4516,11880,23804

