# Setup: RUNS=15, THREADS=4, NUM_SIGNALS=20, NUM_REF=10
start,setup,1st,2nd,end,setup-time,first-propagation,second-propagation,third-propagation,total-time
1377252577117,1377252577119,1377252584429,1377252588925,1377252600710,2,7310,4496,11785,23593
1377252600710,1377252600710,1377252608004,1377252612499,1377252624267,0,7294,4495,11768,23557
1377252624267,1377252624268,1377252631556,1377252636059,1377252647855,1,7288,4503,11796,23588
1377252647855,1377252647855,1377252655145,1377252659652,1377252671428,0,7290,4507,11776,23573
1377252671429,1377252671429,1377252678707,1377252683215,1377252695052,0,7278,4508,11837,23623
1377252695053,1377252695053,1377252702349,1377252706873,1377252718689,0,7296,4524,11816,23636
1377252718690,1377252718690,1377252725983,1377252730490,1377252742286,0,7293,4507,11796,23596
1377252742287,1377252742287,1377252749574,1377252754067,1377252765853,0,7287,4493,11786,23566
1377252765853,1377252765854,1377252773160,1377252777671,1377252789527,1,7306,4511,11856,23674
1377252789527,1377252789528,1377252796839,1377252801348,1377252813203,1,7311,4509,11855,23676
1377252813203,1377252813204,1377252820507,1377252825009,1377252836816,1,7303,4502,11807,23613
1377252836816,1377252836817,1377252844103,1377252848630,1377252860422,1,7286,4527,11792,23606
1377252860422,1377252860423,1377252867721,1377252872221,1377252884021,1,7298,4500,11800,23599
1377252884022,1377252884022,1377252891323,1377252895840,1377252907676,0,7301,4517,11836,23654
1377252907676,1377252907677,1377252915021,1377252919572,1377252931410,1,7344,4551,11838,23734

