# Setup: RUNS=15, THREADS=4, NUM_SIGNALS=20, NUM_REF=20
start,setup,1st,2nd,end,setup-time,first-propagation,second-propagation,third-propagation,total-time
1377168441341,1377168441392,1377168444288,1377168446034,1377168450612,51,2896,1746,4578,9271
1377168450718,1377168450719,1377168453598,1377168455326,1377168459921,1,2879,1728,4595,9203
1377168459966,1377168459967,1377168462762,1377168464521,1377168469104,1,2795,1759,4583,9138
1377168469158,1377168469160,1377168471977,1377168473703,1377168478275,2,2817,1726,4572,9117
1377168478327,1377168478330,1377168481179,1377168483024,1377168487899,3,2849,1845,4875,9572
1377168487940,1377168487944,1377168490797,1377168492585,1377168497291,4,2853,1788,4706,9351
1377168497333,1377168497334,1377168500136,1377168501887,1377168506520,1,2802,1751,4633,9187
1377168506558,1377168506559,1377168509398,1377168511155,1377168515708,1,2839,1757,4553,9150
1377168515746,1377168515748,1377168518613,1377168520397,1377168525067,2,2865,1784,4670,9321
1377168525108,1377168525109,1377168527997,1377168529785,1377168534479,1,2888,1788,4694,9371
1377168534522,1377168534525,1377168537432,1377168539218,1377168543964,3,2907,1786,4746,9442
1377168544008,1377168544009,1377168547151,1377168548969,1377168553751,1,3142,1818,4782,9743
1377168553789,1377168553790,1377168556753,1377168558666,1377168563476,1,2963,1913,4810,9687
1377168563519,1377168563521,1377168566500,1377168568317,1377168573085,2,2979,1817,4768,9566
1377168573132,1377168573135,1377168576108,1377168577941,1377168582777,3,2973,1833,4836,9645

