# Setup: RUNS=15, THREADS=4, NUM_SIGNALS=20, NUM_REF=10
start,setup,1st,2nd,end,setup-time,first-propagation,second-propagation,third-propagation,total-time
1377252275665,1377252275712,1377252278013,1377252278975,1377252281445,47,2301,962,2470,5780
1377252281508,1377252281509,1377252283034,1377252283960,1377252286398,1,1525,926,2438,4890
1377252286441,1377252286442,1377252287953,1377252288879,1377252291330,1,1511,926,2451,4889
1377252291373,1377252291374,1377252292877,1377252293808,1377252296304,1,1503,931,2496,4931
1377252296347,1377252296348,1377252297866,1377252298824,1377252301262,1,1518,958,2438,4915
1377252301299,1377252301300,1377252302818,1377252303755,1377252306207,1,1518,937,2452,4908
1377252306244,1377252306246,1377252307790,1377252308722,1377252311194,2,1544,932,2472,4950
1377252311233,1377252311234,1377252312750,1377252313685,1377252316139,1,1516,935,2454,4906
1377252316184,1377252316185,1377252317712,1377252318649,1377252321097,1,1527,937,2448,4913
1377252321135,1377252321136,1377252322655,1377252323679,1377252326138,1,1519,1024,2459,5003
1377252326175,1377252326177,1377252327753,1377252328708,1377252331228,2,1576,955,2520,5053
1377252331272,1377252331273,1377252332786,1377252333725,1377252336181,1,1513,939,2456,4909
1377252336224,1377252336226,1377252337735,1377252338665,1377252341114,2,1509,930,2449,4890
1377252341154,1377252341156,1377252342772,1377252343717,1377252346160,2,1616,945,2443,5006
1377252346199,1377252346200,1377252347933,1377252348866,1377252351334,1,1733,933,2468,5135

